"Enables consentcookie to load in the frontend.","Enables consentcookie to load in the frontend."
"Enabled","Enabled"
"Overrides Magento's Google Analytics template to comply with ConsentCookie","Overrides Magento's Google Analytics template to comply with ConsentCookie"
"Override Magento Google Analytics","Override Magento Google Analytics"
"Configuration","Configuration"
"Enables the configurator below.","Enables the configurator below."
"Local","Local"
"Load method","Load method"
"Use CDN for the latest version and local for the included version of ConsentCookie.","Use CDN for the latest version and local for the included version of ConsentCookie."
"Configurator Settings","Configurator Settings"
