"Enables consentcookie to load in the frontend.","Schakelt consentcookie in voor de frontend."
"Enabled","Ingeschakeld"
"Overrides Magento's Google Analytics template to comply with ConsentCookie","Overschrijft Magento's Google Analytics template voor werking met ConsentCookie."
"Override Magento Google Analytics","Overschrijf Magento Google Analytics"
"Configuration","Configuratie",
"Enables the configurator below.","Activeert de configurator hieronder."
"Local","Lokaal"
"Load method","Laad methode"
"Use CDN for the latest version and local for the included version of ConsentCookie.","Gebruik CDN voor de laatste versie en lokaal voor de inbegrepen versie."
"Configurator Settings","Configurator Instellingen"
